City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Mandera,KE,3.9366,41.867,87.94,33,28,10.63,scattered clouds
198,Roma,US,43.2128,-75.4557,76.42,56,78,1.01,broken clouds
199,Vardo,NO,70.3705,31.1107,48.4,87,75,24.16,shower rain
200,Saint Anthony,US,45.0205,-93.218,87.93,57,90,5.01,overcast clouds
201,Mbabane,SZ,-26.3167,31.1333,43.45,38,0,2.57,clear sky
202,Rantepao,ID,-2.9701,119.8978,66.85,99,100,1.7,overcast clouds
203,Kabo,CF,7.6994,18.629,72.1,90,100,3.56,overcast clouds
204,Coihaique,CL,-45.5752,-72.0662,49.95,66,75,4.61,light intensity shower rain
205,Severo-Kurilsk,RU,50.6789,156.125,49.14,94,66,5.17,broken clouds
206,Praia,CV,14.9215,-23.5087,86.54,62,40,10.36,scattered clouds
207,Lebu,CL,-37.6167,-73.65,55.17,71,79,5.12,broken clouds
208,Pevek,RU,69.7008,170.3133,39.06,73,96,1.99,overcast clouds
209,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,100,10.0,overcast clouds
210,Port Elizabeth,ZA,-33.918,25.5701,46.69,87,75,23.02,heavy intensity shower rain
211,Laguna,US,38.421,-121.4238,93.04,55,0,1.01,clear sky
212,Blairmore,CA,49.6,-114.4353,67.93,21,0,19.48,clear sky
213,Kaduqli,SD,11.0167,29.7167,80.67,63,96,5.5,overcast clouds
214,Ribeira Grande,PT,38.5167,-28.7,75.6,60,40,11.5,scattered clouds
215,Miguel Hidalgo,MX,19.4225,-99.2028,69.58,54,75,4.0,broken clouds
216,Teya,RU,60.3778,92.6267,56.14,77,66,2.68,broken clouds
217,Kapaa,US,22.0752,-159.319,75.18,84,100,4.0,overcast clouds
218,Staritsa,RU,56.5075,34.9354,64.96,57,60,7.09,broken clouds
219,Maningrida,AU,-12.0667,134.2667,70.47,93,16,4.72,few clouds
220,Clyde River,CA,70.4692,-68.5914,39.43,93,90,5.75,light intensity drizzle
221,North Bend,US,43.4065,-124.2243,66.24,79,0,1.01,clear sky
222,Jaisalmer,IN,26.9147,70.9181,98.1,32,33,6.6,scattered clouds
223,Beringovskiy,RU,63.05,179.3167,47.3,90,27,6.89,scattered clouds
224,Geraldton,AU,-28.7667,114.6,52.21,93,4,9.22,clear sky
225,San Ignacio,BZ,17.1561,-89.0714,86.14,70,40,6.91,scattered clouds
